,company_name,estab_year,employees_count,emp_overall_rating,emp_wl_bal_rating,emp_salary_n_benefits_rating,emp_comp_culture_rating,emp_career_growth_rating,emp_diversity_n_inclusion_rating,emp_likely_to_recomm_rating
241,Klimb.io,2015,10 - 50,3.8,2.6,3.0,3.4,3.4,3.6,3.0
242,Optmyzr,2013,10 - 50,4.2,4.2,4.0,4.3,3.8,4.3,4.2
243,Talentedge,2012,200 - 500,3.9,3.5,3.8,3.7,3.8,3.8,3.7
244,Baazi Games,2014,200 - 500,3.8,3.3,3.6,3.9,3.8,3.7,3.9
245,Broadridge,1962,1000+,3.9,3.6,3.5,3.9,3.7,3.9,3.8
246,Docsumo,2018,10 - 50,4.7,4.5,4.3,4.6,4.6,4.4,4.7
247,HighLevel,2018,50 - 200,4.9,4.6,4.5,4.7,4.7,4.8,5.0
248,IndiaMART InterMESH,1999,1000+,3.8,3.4,3.5,3.6,3.7,3.6,3.7
249,inFeedo,2016,50 - 200,4.8,4.5,4.5,4.8,4.6,4.7,4.8
250,UNext Learning,2020,500 - 1000,4.0,3.8,3.7,4.0,3.9,4.0,4.0
251,Zell Education,2015,10 - 50,4.3,3.4,4.0,4.0,3.7,4.7,3.7
252,AXS Solutions,2012,10 - 50,2.6,2.6,2.0,2.7,2.8,3.8,1.8
253,Designoweb,2014,50 - 200,4.0,3.9,3.5,3.8,3.8,2.6,4.2
254,Goavega Software,2014,50 - 200,4.3,4.1,3.5,4.5,4.2,4.3,4.8
255,Kadel Labs,2017,50 - 200,4.8,4.6,4.3,4.4,4.8,4.3,5.0
256,Paktolus Solutions,2002,50 - 200,4.0,3.8,3.7,4.0,3.9,4.0,4.0
257,PocketFM,2018,50 - 200,4.0,3.8,3.7,4.0,3.9,4.0,4.0
258,TeamLease Regtech,2013,50 - 200,4.0,3.8,3.7,4.0,3.9,4.0,4.0
259,Aissel Technologies,2010,50 - 200,4.2,3.2,3.4,3.5,4.0,3.5,4.5
260,Brisa Technologies,2009,50 - 200,4.2,4.1,4.1,4.1,3.9,4.2,4.0
261,Ivan Infotech,2015,10 - 50,4.0,3.8,3.7,4.0,3.9,4.0,4.0
262,Nitara,2017,50 - 200,4.7,4.8,4.1,4.6,4.5,4.8,5.0
263,NowFloats,2012,200 - 500,4.3,4.0,4.2,4.4,4.3,4.3,4.2
264,Potentiam,2016,50 - 200,3.0,2.9,3.1,1.5,1.9,4.5,4.0
265,Sopra Steria,1968,1000+,3.8,4.0,3.2,3.8,3.5,3.9,3.9
266,Junglee Games,2012,200 - 500,4.3,3.9,4.4,4.3,4.3,4.3,4.3
267,Paytm Payments Bank,2017,500 - 1000,3.7,3.4,3.5,3.4,3.8,3.6,3.7
268,Priceline,1998,500 - 1000,4.2,4.2,4.1,4.5,4.0,4.4,4.0
269,SmartCoin,2016,50 - 200,4.4,4.3,4.2,4.3,4.4,4.3,4.4
270,Tailorbird,2020,10 - 50,4.0,3.8,3.7,4.0,3.9,4.0,4.0
271,Juntrax Solutions,2016,0 - 10,3.9,3.5,3.5,4.0,3.6,3.1,3.9
272,Kuvera,2016,10 - 50,3.2,2.8,3.5,3.1,3.1,2.7,3.2
273,Proxgy,2020,10 - 50,4.0,3.8,3.7,4.0,3.9,4.0,4.0
274,Savage,2021,10 - 50,4.0,3.4,3.8,3.8,3.8,3.8,4.1
275,Kickdrum,2012,10 - 50,4.0,3.8,4.1,4.3,4.1,4.1,3.9
276,Wayfair,2002,1000+,3.3,3.3,3.3,3.3,3.2,3.6,2.6
277,Ashok Leyland,1948,1000+,4.1,3.8,3.7,3.7,3.9,3.7,4.3
278,Bipp,2017,10 - 50,4.0,4.5,4.0,3.7,4.0,3.7,3.6
279,Bluecore,2013,50 - 200,4.1,4.1,4.1,4.1,4.0,4.1,3.5
280,eG Innovations,2001,50 - 200,3.6,3.6,2.9,2.9,3.0,2.9,4.0
281,Mantra Labs,2009,50 - 200,3.9,3.7,3.6,3.8,4.0,3.9,4.0
